id_cliente,ciudad,id_producto,categoria,nombre_producto,cantidad,precio_unitario,importe,medio_pago,mes
7,rio cuarto,73,alimentos,gin 700ml,2,1561,3122,transferencia,6
77,villa maria,24,alimentos,galletitas chocolate,4,1305,5220,transferencia,8
4,carlos paz,42,alimentos,vinagre de alcohol 500ml,5,1195,5975,tarjeta_debito,2
93,alta gracia,24,alimentos,galletitas chocolate,3,1305,3915,tarjeta_debito,5
9,carlos paz,22,alimentos,medialunas de manteca,2,2069,4138,efectivo,9
88,villa maria,41,alimentos,aceite de girasol 1l,3,860,2580,tarjeta_credito,12
80,mendiolaza,92,higiene personal,crema dental 90g,5,2512,12560,efectivo,10
42,alta gracia,4,alimentos,fanta naranja 1.5l,3,2033,6099,transferencia,6
11,villa maria,13,alimentos,té verde 20 saquitos,3,2383,7149,transferencia,2
23,rio cuarto,93,higiene personal,cepillo de dientes,5,2142,10710,transferencia,5
69,rio cuarto,17,alimentos,queso cremoso 500g,4,4834,19336,transferencia,4
34,villa maria,56,limpieza,papel higiénico x4,3,2532,7596,transferencia,11
82,alta gracia,39,alimentos,helado vainilla 1l,1,469,469,tarjeta_credito,3
44,carlos paz,22,alimentos,medialunas de manteca,3,2069,6207,tarjeta_debito,11
55,mendiolaza,19,alimentos,manteca 200g,5,3251,16255,tarjeta_credito,4
41,alta gracia,65,alimentos,cerveza rubia 1l,2,2423,4846,transferencia,8
96,cordoba,23,alimentos,bizcochos salados,5,2380,11900,tarjeta_credito,1
95,rio cuarto,90,higiene personal,toallas húmedas x50,5,2902,14510,transferencia,4
96,cordoba,15,alimentos,leche descremada 1l,4,2538,10152,transferencia,6
38,alta gracia,48,alimentos,porotos negros 500g,2,4462,8924,efectivo,4
34,villa maria,77,alimentos,empanadas congeladas,1,4778,4778,transferencia,7
37,mendiolaza,7,alimentos,jugo de manzana 1l,3,3269,9807,transferencia,8
82,alta gracia,68,alimentos,vino blanco 750ml,3,2684,8052,transferencia,4
47,alta gracia,96,limpieza,suavizante 1l,3,4920,14760,transferencia,10
75,rio cuarto,93,higiene personal,cepillo de dientes,2,2142,4284,tarjeta_credito,4
94,mendiolaza,34,alimentos,turrón 50g,2,503,1006,efectivo,7
88,villa maria,25,alimentos,galletitas vainilla,3,4015,12045,tarjeta_debito,2
57,rio cuarto,62,alimentos,stevia 100 sobres,4,3848,15392,efectivo,4
23,rio cuarto,67,alimentos,vino tinto malbec 750ml,3,4719,14157,tarjeta_debito,8
100,cordoba,64,alimentos,avena instantánea 250g,1,3953,3953,transferencia,3
29,alta gracia,86,alimentos,jugo en polvo limón,1,4090,4090,tarjeta_credito,10
92,alta gracia,75,alimentos,licor de café 700ml,2,3204,6408,tarjeta_credito,11
22,alta gracia,16,alimentos,yogur natural 200g,2,4613,9226,efectivo,1
42,alta gracia,47,alimentos,garbanzos 500g,2,2939,5878,transferencia,11
88,villa maria,21,alimentos,pan lactal integral,4,272,1088,transferencia,7
28,cordoba,79,alimentos,hamburguesas congeladas x4,4,2420,9680,tarjeta_credito,11
39,alta gracia,60,alimentos,chupetín,1,4647,4647,efectivo,9
44,carlos paz,11,alimentos,café molido 250g,3,2053,6159,tarjeta_debito,10
29,alta gracia,31,alimentos,mix de frutos secos 200g,5,3409,17045,tarjeta_credito,5
32,mendiolaza,1,alimentos,coca cola 1.5l,5,2347,11735,efectivo,6
44,carlos paz,5,alimentos,agua mineral 500ml,5,4777,23885,transferencia,10
26,alta gracia,21,alimentos,pan lactal integral,2,272,544,efectivo,7
66,villa maria,16,alimentos,yogur natural 200g,1,4613,4613,transferencia,6
73,alta gracia,79,alimentos,hamburguesas congeladas x4,3,2420,7260,tarjeta_debito,6
24,villa maria,86,alimentos,jugo en polvo limón,2,4090,8180,efectivo,7
82,alta gracia,78,alimentos,verduras congeladas mix,4,4289,17156,transferencia,2
97,cordoba,14,alimentos,leche entera 1l,3,1723,5169,transferencia,9
54,alta gracia,98,limpieza,desengrasante 500ml,1,2843,2843,transferencia,2
9,carlos paz,56,limpieza,papel higiénico x4,5,2532,12660,tarjeta_credito,9
68,villa maria,91,higiene personal,desodorante aerosol,3,4690,14070,tarjeta_debito,2
57,rio cuarto,52,limpieza,detergente líquido 750ml,2,2582,5164,tarjeta_credito,11
59,villa maria,5,alimentos,agua mineral 500ml,3,4777,14331,efectivo,10
90,rio cuarto,6,alimentos,jugo de naranja 1l,1,4170,4170,tarjeta_debito,10
28,cordoba,91,higiene personal,desodorante aerosol,2,4690,9380,tarjeta_credito,5
100,cordoba,22,alimentos,medialunas de manteca,4,2069,8276,efectivo,6
96,cordoba,91,higiene personal,desodorante aerosol,1,4690,4690,transferencia,2
64,villa maria,13,alimentos,té verde 20 saquitos,1,2383,2383,tarjeta_credito,2
43,mendiolaza,94,higiene personal,hilo dental,4,1418,5672,efectivo,8
25,rio cuarto,77,alimentos,empanadas congeladas,5,4778,23890,transferencia,2
