id_venta,id_cliente,fecha,medio_pago,monto_total,mes,trimestre
1,115,2024-06-10,Billetera Virtual,4713,6,2
2,56,2024-02-18,Billetera Virtual,5076,2,1
3,106,2024-12-03,Tarjeta Credito,8924,12,4
4,119,2024-12-28,Efectivo,9226,12,4
5,93,2024-12-11,Transferencia,7614,12,4
6,173,2024-07-29,Tarjeta Debito,5804,7,3
7,19,2024-03-12,Efectivo,10000,3,1
8,14,2024-11-30,Transferencia,7320,11,4
9,144,2024-05-08,Billetera Virtual,3876,5,2
10,134,2024-03-19,Tarjeta Debito,2580,3,1
11,232,2024-09-20,Billetera Virtual,3915,9,3
12,102,2024-06-28,Transferencia,7000,6,2
13,208,2024-02-23,Tarjeta Credito,3600,2,1
14,103,2024-08-03,Transferencia,900,8,3
15,214,2024-07-05,Transferencia,10500,7,3
16,116,2024-03-03,Tarjeta Debito,5064,3,1
17,136,2024-10-15,Efectivo,10328,10,4
18,20,2024-12-11,Tarjeta Credito,6392,12,4
19,186,2024-12-02,Transferencia,4004,12,4
20,232,2024-07-30,Transferencia,2616,7,3
21,77,2024-07-25,Transferencia,4777,7,3
22,120,2024-08-22,Efectivo,5804,8,3
23,76,2024-03-05,Transferencia,11634,3,1
24,59,2024-06-26,Tarjeta Debito,2684,6,2
25,63,2024-08-07,Tarjeta Debito,4500,8,3
26,160,2024-12-19,Transferencia,19008,12,4
27,200,2024-04-11,Billetera Virtual,12183,4,2
28,225,2024-06-28,Transferencia,6580,6,2
29,184,2024-12-06,Transferencia,7140,12,4
30,107,2024-01-11,Tarjeta Credito,6426,1,1
31,38,2024-03-28,Tarjeta Credito,31200,3,1
32,49,2024-02-23,Tarjeta Debito,8937,2,1
33,160,2024-09-17,Tarjeta Debito,6300,9,3
34,206,2024-11-18,Billetera Virtual,4883,11,4
35,97,2024-04-14,Efectivo,6392,4,2
36,12,2024-02-01,Tarjeta Debito,2400,2,1
37,165,2024-03-01,Tarjeta Credito,3142,3,1
38,220,2024-02-16,Efectivo,6818,2,1
39,221,2024-12-01,Efectivo,3600,12,4
40,116,2024-03-28,Efectivo,19500,3,1
41,178,2024-05-01,Tarjeta Credito,16800,5,2
42,4,2024-01-29,Tarjeta Debito,8276,1,1
43,140,2024-09-10,Efectivo,4973,9,3
44,213,2024-05-23,Transferencia,1016,5,2
45,244,2024-10-26,Tarjeta Debito,16360,10,4
46,43,2024-09-30,Transferencia,4800,9,3
47,230,2024-09-07,Transferencia,1533,9,3
48,5,2024-01-06,Tarjeta Debito,8859,1,1
49,70,2024-08-01,Billetera Virtual,4752,8,3
50,85,2024-08-26,Transferencia,3328,8,3
51,241,2024-03-23,Tarjeta Debito,4834,3,1
52,98,2024-12-13,Billetera Virtual,4854,12,4
53,162,2024-08-09,Tarjeta Debito,4854,8,3
54,115,2024-02-04,Tarjeta Credito,2600,2,1
55,51,2024-01-21,Billetera Virtual,7140,1,1
56,88,2024-03-02,Transferencia,4218,3,1
57,58,2024-11-09,Efectivo,6538,11,4
58,5,2024-01-27,Tarjeta Debito,2559,1,1
59,19,2024-07-04,Efectivo,8674,7,3
60,27,2024-12-31,Tarjeta Debito,2390,12,4
61,171,2024-09-04,Tarjeta Debito,8936,9,3
62,165,2024-07-15,Tarjeta Debito,19532,7,3
63,112,2024-07-11,Tarjeta Debito,2800,7,3
64,67,2024-02-24,Transferencia,5400,2,1
65,85,2024-02-19,Billetera Virtual,3600,2,1
66,199,2024-07-06,Billetera Virtual,2053,7,3
67,38,2024-03-21,Tarjeta Credito,1679,3,1
68,53,2024-01-11,Billetera Virtual,9532,1,1
69,226,2024-10-06,Tarjeta Debito,11634,10,4
